City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Inhambane,MZ,69.78,few clouds,-23.865,35.3833,Oceano
216,Qaqortoq,GL,47.48,overcast clouds,60.7167,-46.0333,Siniffik Inn
217,Cairns,AU,68.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
218,Perth,AU,48.34,clear sky,-31.9333,115.8333,Quest on Rheola
219,Faanui,PF,76.44,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
220,Roald,NO,71.17,light rain,62.5833,6.1333,Flem Cabins
221,Macapa,BR,91.38,scattered clouds,0.0389,-51.0664,Atalanta Hotel
222,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Amasya,TR,76.68,clear sky,40.6667,35.8333,Lalehan Hotel
225,Xichang,CN,66.85,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
226,Chuy,UY,55.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
227,Imbituba,BR,60.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
229,Orissaare,EE,66.15,broken clouds,58.5592,23.0826,Vanatoa Tourism Farm
230,Kizukuri,JP,77.95,light rain,40.8061,140.3861,Kashiwa Roman-sō
231,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
232,Agapovka,RU,65.41,clear sky,53.2973,59.1348,Gostinitsa Zhkkh
233,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
234,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
235,Bethel,US,86.14,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
236,Lixourion,GR,84.2,few clouds,38.2019,20.4314,Hotel Summery
238,Kamsack,CA,69.35,overcast clouds,51.5667,-101.9009,Liquor Store Kamsack & Woodlander Hotel
239,Lagoa,PT,71.15,scattered clouds,39.05,-27.9833,Casa Das Faias
240,Vardo,NO,57.18,broken clouds,70.3705,31.1107,Vardø Hotel AS
241,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
242,Tankhoy,RU,55.78,broken clouds,51.5528,105.1306,Vizit Tsentr
243,Hlobyne,UA,68.25,overcast clouds,49.3878,33.2596,Versalʹskyy Dvoryk
245,Severo-Kurilsk,RU,54.23,overcast clouds,50.6789,156.125,Kak Doma
247,Salalah,OM,78.69,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
248,Nyandoma,RU,57.76,broken clouds,61.669,40.1991,"Hotel ""Sputnik"" (Sputnik Hotel)"
249,Letlhakane,BW,64.27,clear sky,-21.4167,25.5833,Motswedi Hotel
250,Paamiut,GL,42.42,light rain,61.994,-49.6678,Pistut
251,La Tuque,CA,77.92,few clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
252,Moron,AR,59.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
253,Sheltozero,RU,61.48,broken clouds,61.3667,35.3667,The village of Vanino
254,Torbay,CA,59.58,overcast clouds,47.6666,-52.7314,Gallows Cove
256,Saint Anthony,US,85.48,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
257,Estelle,US,84.18,thunderstorm,29.8458,-90.1067,Ohio
258,Klamath Falls,US,77.97,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
259,Waingapu,ID,75.33,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
260,Tura,IN,74.79,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
261,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
262,Acari,PE,73.92,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
264,Alofi,NU,66.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
265,Cape Canaveral,US,95.2,few clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
266,Umea,SE,62.53,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
267,Marsaxlokk,MT,84.07,few clouds,35.8419,14.5431,Water's Edge
269,Tuatapere,NZ,36.34,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
270,Lasa,IT,74.28,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
272,Alyangula,AU,72.0,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
273,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
274,Gizo,SB,80.38,light rain,-8.103,156.8419,Imagination Island
275,Tautira,PF,76.41,light rain,-17.7333,-149.15,Pension Oaoa
276,Matelandia,BR,48.18,overcast clouds,-25.2408,-53.9964,Hotel Faeli
277,Buala,SB,78.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
278,Yaounde,CM,68.9,light rain,3.8667,11.5167,Hotel Mérina Yaoundé
279,Hofn,IS,55.42,haze,64.2539,-15.2082,Hótel Höfn
280,San Jose,US,79.9,few clouds,37.3394,-121.895,The Westin San Jose
281,Cockburn Town,TC,81.3,clear sky,21.4612,-71.1419,Osprey Beach Hotel
282,Clyde River,CA,44.13,overcast clouds,70.4692,-68.5914,Qamaq Hotel
283,Port Macquarie,AU,44.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
285,Tamiahua,MX,88.93,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
286,Safaga,EG,92.98,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
287,Hirado,JP,81.39,overcast clouds,33.3597,129.5531,Samson Hotel
288,Mednogorsk,RU,69.82,scattered clouds,51.4128,57.595,"Hotel ""Central"""
289,Takoradi,GH,76.17,overcast clouds,4.8845,-1.7554,Raybow International Hotel
